Anime_name,episode,duration,members,Score
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,"584,071 members",8.45
Yuru Camp△ Movie,Movie (1 eps),Jul 2022 - Jul 2022,"72,313 members",8.44
Zoku Owarimonogatari,TV (6 eps),May 2019 - Jun 2019,"220,494 members",8.44
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,920,995 members",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,083,620 members",8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"751,907 members",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"854,652 members",8.44
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"99,200 members",8.43
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"178,279 members",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"43,583 members",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"757,170 members",8.43
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"100,278 members",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"171,172 members",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"391,585 members",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"319,681 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,"70,292 members",8.42
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"624,510 members",8.42
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"179,411 members",8.41
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,072,027 members",8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"505,162 members",8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,"407,573 members",8.41
Dr. Stone: New World Part 2,TV (11 eps),Oct 2023 - Dec 2023,"184,070 members",8.41
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"578,840 members",8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,"1,688,571 members",8.41
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"405,215 members",8.4
Major S5,TV (25 eps),Jan 2009 - Jun 2009,"70,048 members",8.4
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"224,896 members",8.4
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,"45,861 members",8.4
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,"418,805 members",8.4
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"520,204 members",8.4
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"83,944 members",8.39
Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"448,749 members",8.39
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,"163,904 members",8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,"204,184 members",8.39
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"294,120 members",8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"698,694 members",8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,"1,250,166 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"915,466 members",8.38
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"666,717 members",8.38
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"1,262,543 members",8.36
Yuru Camp△ Movie,Movie (1 eps),Jul 2022 - Jul 2022,"72,313 members",8.44
Zoku Owarimonogatari,TV (6 eps),May 2019 - Jun 2019,"220,494 members",8.44
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,920,995 members",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,083,620 members",8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"751,907 members",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"854,652 members",8.44
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"99,200 members",8.43
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"178,279 members",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"43,583 members",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"757,170 members",8.43
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"100,278 members",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"171,172 members",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"391,585 members",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"319,681 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,"70,292 members",8.42
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"624,510 members",8.42
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"179,411 members",8.41
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,072,027 members",8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"505,162 members",8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,"407,573 members",8.41
Dr. Stone: New World Part 2,TV (11 eps),Oct 2023 - Dec 2023,"184,070 members",8.41
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"578,840 members",8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,"1,688,571 members",8.41
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"405,215 members",8.4
Major S5,TV (25 eps),Jan 2009 - Jun 2009,"70,048 members",8.4
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"224,896 members",8.4
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,"45,861 members",8.4
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,"418,805 members",8.4
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"520,204 members",8.4
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"83,944 members",8.39
Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"448,749 members",8.39
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,"163,904 members",8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,"204,184 members",8.39
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"294,120 members",8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"698,694 members",8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,"1,250,166 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"915,466 members",8.38
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"666,717 members",8.38
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"1,262,543 members",8.36
Baccano!,TV (13 eps),Jul 2007 - Nov 2007,"894,013 members",8.36
Zoku Owarimonogatari,TV (6 eps),May 2019 - Jun 2019,"220,494 members",8.44
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,920,995 members",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,083,620 members",8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"751,907 members",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"854,652 members",8.44
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"99,200 members",8.43
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"178,279 members",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"43,583 members",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"757,170 members",8.43
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"100,278 members",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"171,172 members",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"391,585 members",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"319,681 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,"70,292 members",8.42
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"624,510 members",8.42
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"179,411 members",8.41
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,072,027 members",8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"505,162 members",8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,"407,573 members",8.41
Dr. Stone: New World Part 2,TV (11 eps),Oct 2023 - Dec 2023,"184,070 members",8.41
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"578,840 members",8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,"1,688,571 members",8.41
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"405,215 members",8.4
Major S5,TV (25 eps),Jan 2009 - Jun 2009,"70,048 members",8.4
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"224,896 members",8.4
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,"45,861 members",8.4
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,"418,805 members",8.4
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"520,204 members",8.4
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"83,944 members",8.39
Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"448,749 members",8.39
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,"163,904 members",8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,"204,184 members",8.39
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"294,120 members",8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"698,694 members",8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,"1,250,166 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"915,466 members",8.38
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"666,717 members",8.38
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"1,262,543 members",8.36
Baccano!,TV (13 eps),Jul 2007 - Nov 2007,"894,013 members",8.36
Haikyuu!! To the Top,TV (13 eps),Jan 2020 - Apr 2020,"907,518 members",8.36
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"1,920,995 members",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,083,620 members",8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"751,907 members",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"854,652 members",8.44
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"99,200 members",8.43
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"178,279 members",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"43,583 members",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"757,170 members",8.43
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"100,278 members",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"171,172 members",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"391,585 members",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"319,681 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,"70,292 members",8.42
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"624,510 members",8.42
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"179,411 members",8.41
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,072,027 members",8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"505,162 members",8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,"407,573 members",8.41
Dr. Stone: New World Part 2,TV (11 eps),Oct 2023 - Dec 2023,"184,070 members",8.41
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"578,840 members",8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,"1,688,571 members",8.41
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"405,215 members",8.4
Major S5,TV (25 eps),Jan 2009 - Jun 2009,"70,048 members",8.4
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"224,896 members",8.4
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,"45,861 members",8.4
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,"418,805 members",8.4
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"520,204 members",8.4
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"83,944 members",8.39
Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"448,749 members",8.39
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,"163,904 members",8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,"204,184 members",8.39
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"294,120 members",8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"698,694 members",8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,"1,250,166 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"915,466 members",8.38
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"666,717 members",8.38
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"1,262,543 members",8.36
Baccano!,TV (13 eps),Jul 2007 - Nov 2007,"894,013 members",8.36
Haikyuu!! To the Top,TV (13 eps),Jan 2020 - Apr 2020,"907,518 members",8.36
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV (12 eps),Jul 2020 - Sep 2020,"708,207 members",8.36
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,083,620 members",8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"751,907 members",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"854,652 members",8.44
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,"99,200 members",8.43
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"178,279 members",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"43,583 members",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"757,170 members",8.43
Fruits Basket: Prelude,Movie (1 eps),Feb 2022 - Feb 2022,"100,278 members",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"171,172 members",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"391,585 members",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"319,681 members",8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,"70,292 members",8.42
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,"624,510 members",8.42
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,"179,411 members",8.41
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,072,027 members",8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"505,162 members",8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,"407,573 members",8.41
Dr. Stone: New World Part 2,TV (11 eps),Oct 2023 - Dec 2023,"184,070 members",8.41
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"578,840 members",8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,"1,688,571 members",8.41
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"405,215 members",8.4
Major S5,TV (25 eps),Jan 2009 - Jun 2009,"70,048 members",8.4
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"224,896 members",8.4
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,"45,861 members",8.4
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,"418,805 members",8.4
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,"520,204 members",8.4
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,"83,944 members",8.39
Houseki no Kuni,TV (12 eps),Oct 2017 - Dec 2017,"448,749 members",8.39
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,"163,904 members",8.39
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,"204,184 members",8.39
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,"294,120 members",8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,"698,694 members",8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,"1,250,166 members",8.38
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,"915,466 members",8.38
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,"666,717 members",8.38
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"652,198 members",8.38
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,"231,859 members",8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"369,998 members",8.38
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,"122,843 members",8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps),Jan 2019 - Jan 2019,"131,656 members",8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"199,665 members",8.37
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"102,252 members",8.37
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,"120,720 members",8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"367,618 members",8.36
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"519,219 members",8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"1,262,543 members",8.36
